Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Season
2011-10-22,Liverpool,Norwich,D,1,1,25,12,15,10,10,3,6,8,0,1,0,0,1.29,5.5,11,2011-2012
2011-10-22,Newcastle,Wigan,H,1,0,13,12,10,5,7,3,7,22,3,2,0,0,1.57,3.8,6.5,2011-2012
2011-10-22,Wolves,Swansea,D,2,2,20,16,13,14,8,13,14,11,2,0,0,0,2,3.4,3.8,2011-2012
2011-10-23,Arsenal,Stoke,H,3,1,9,5,5,2,10,1,9,13,0,2,0,0,1.53,4,6.5,2011-2012
2011-10-23,Blackburn,Tottenham,A,1,2,19,9,8,7,8,5,19,7,4,1,0,0,4,3.5,1.91,2011-2012
2011-10-23,Fulham,Everton,A,1,3,15,11,8,7,5,1,12,8,3,1,0,0,2.25,3.25,3.3,2011-2012
2011-10-23,Man United,Man City,A,1,6,12,19,8,12,7,4,15,11,4,4,1,0,2,3.4,3.8,2011-2012
2011-10-23,QPR,Chelsea,H,1,0,8,14,3,7,0,6,17,17,2,7,0,2,9.5,5,1.33,2011-2012
2011-10-29,Chelsea,Arsenal,A,3,5,12,13,10,8,3,2,7,18,2,3,0,0,1.62,4,5.5,2011-2012
2011-10-29,Everton,Man United,A,0,1,18,7,11,6,4,1,12,8,3,0,0,0,4.5,3.6,1.8,2011-2012
2011-10-29,Man City,Wolves,H,3,1,18,9,9,2,5,4,17,5,2,1,1,0,1.17,7,19,2011-2012
2011-10-29,Norwich,Blackburn,D,3,3,13,12,6,7,6,2,9,10,2,1,0,0,1.91,3.6,4,2011-2012
2011-10-29,Sunderland,Aston Villa,D,2,2,13,10,8,5,5,6,7,13,1,3,0,0,2.1,3.3,3.6,2011-2012
2011-10-29,Swansea,Bolton,H,3,1,20,8,12,3,10,2,9,14,3,4,0,1,2.1,3.3,3.6,2011-2012
2011-10-29,West Brom,Liverpool,A,0,2,10,17,6,7,3,10,12,9,1,0,0,0,4,3.3,2,2011-2012
2011-10-29,Wigan,Fulham,A,0,2,18,7,9,5,9,0,17,14,2,5,0,0,2.88,3.25,2.5,2011-2012
2011-10-30,Tottenham,QPR,H,3,1,22,12,13,8,4,8,12,14,0,0,0,0,1.36,4.75,9,2011-2012
2011-10-31,Stoke,Newcastle,A,1,3,10,6,4,2,8,2,8,14,0,1,0,0,2.1,3.2,3.8,2011-2012
2011-11-05,Arsenal,West Brom,H,3,0,12,9,7,4,4,1,12,12,0,0,0,0,1.4,4.5,8.5,2011-2012
2011-11-05,Aston Villa,Norwich,H,3,2,12,9,6,7,6,6,11,9,1,5,0,0,1.83,3.5,4.5,2011-2012
2011-11-05,Blackburn,Chelsea,A,0,1,13,12,8,8,5,8,12,10,4,2,0,0,7.5,4.33,1.44,2011-2012
2011-11-05,Liverpool,Swansea,D,0,0,18,9,10,3,11,4,13,5,2,1,0,0,1.29,5.5,10,2011-2012
2011-11-05,Man United,Sunderland,H,1,0,15,9,9,3,6,2,6,14,0,2,0,0,1.25,5.5,13,2011-2012
2011-11-05,Newcastle,Everton,H,2,1,10,14,6,6,5,3,12,15,2,3,0,0,2.25,3.25,3.3,2011-2012
2011-11-05,QPR,Man City,A,2,3,18,16,9,8,3,1,5,14,1,1,0,0,10,5,1.33,2011-2012
2011-11-06,Bolton,Stoke,H,5,0,20,9,16,6,12,4,10,9,0,1,0,0,2.4,3.3,3,2011-2012
2011-11-06,Fulham,Tottenham,A,1,3,26,8,20,8,11,1,5,9,0,1,0,0,3.25,3.3,2.25,2011-2012
2011-11-06,Wolves,Wigan,H,3,1,13,13,12,7,5,6,11,13,2,1,0,0,1.91,3.3,4.33,2011-2012
2011-11-19,Everton,Wolves,H,2,1,13,4,9,1,9,1,14,13,1,2,0,0,1.57,3.75,6.5,2011-2012
2011-11-19,Man City,Newcastle,H,3,1,12,10,9,7,4,5,10,7,0,0,0,0,1.3,5.5,10,2011-2012
2011-11-19,Norwich,Arsenal,A,1,2,7,20,4,14,1,6,11,9,3,0,0,0,5.5,3.6,1.67,2011-2012
2011-11-19,Stoke,QPR,A,2,3,17,9,7,8,9,5,17,10,4,2,0,0,1.83,3.5,4.5,2011-2012
2011-11-19,Sunderland,Fulham,D,0,0,13,13,8,9,6,7,8,12,1,1,0,0,2.3,3.25,3.2,2011-2012
