Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Home_Win_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Win_Pinnacle_Odds,Season
2015-10-17,Southampton,Leicester,D,2,2,14,26,6,7,6,7,16,10,2,0,0,0,1.75,4,5,1.73,3.94,5.32,2015-2016
2015-10-17,Tottenham,Liverpool,D,0,0,13,12,4,3,8,6,15,11,1,2,0,0,2.5,3.5,3,2.28,3.52,3.36,2015-2016
2015-10-17,Watford,Arsenal,A,0,3,8,17,1,6,3,9,11,12,2,1,0,0,6,4.2,1.62,6.75,4.54,1.53,2015-2016
2015-10-17,West Brom,Sunderland,H,1,0,8,9,1,2,1,5,12,13,2,2,0,0,2.05,3.4,4.2,2.15,3.35,3.91,2015-2016
2015-10-18,Newcastle,Norwich,H,6,2,11,18,6,6,3,7,10,10,1,1,0,0,2.6,3.4,2.88,2.48,3.54,2.99,2015-2016
2015-10-19,Swansea,Stoke,A,0,1,14,9,2,2,1,2,6,14,2,2,0,0,2.05,3.4,4.2,1.88,3.66,4.62,2015-2016
2015-10-24,Arsenal,Everton,H,2,1,20,10,5,5,7,5,11,14,2,0,0,1,1.44,4.75,8,1.39,5.3,8.8,2015-2016
2015-10-24,Aston Villa,Swansea,A,1,2,9,11,3,4,4,6,10,8,2,3,0,0,3,3.3,2.6,3.01,3.25,2.63,2015-2016
2015-10-24,Leicester,Crystal Palace,H,1,0,12,9,3,4,3,2,7,11,3,1,0,0,2.2,3.6,3.4,2.17,3.57,3.58,2015-2016
2015-10-24,Norwich,West Brom,A,0,1,16,7,3,4,13,3,11,6,1,2,0,0,2,3.5,4.2,1.98,3.74,4.03,2015-2016
2015-10-24,Stoke,Watford,A,0,2,12,13,1,3,11,5,10,18,3,1,0,0,2.1,3.3,4,2.1,3.49,3.89,2015-2016
2015-10-24,West Ham,Chelsea,H,2,1,12,8,5,4,7,4,10,12,1,5,0,1,4,3.8,1.95,4.21,3.86,1.91,2015-2016
2015-10-25,Bournemouth,Tottenham,A,1,5,11,14,3,9,4,5,8,15,0,1,0,0,3.4,3.5,2.25,3.52,3.55,2.2,2015-2016
2015-10-25,Liverpool,Southampton,D,1,1,15,8,2,3,10,7,8,11,1,0,0,1,2.05,3.6,3.8,2.09,3.53,3.87,2015-2016
2015-10-25,Man United,Man City,D,0,0,6,6,1,1,6,4,17,13,2,2,0,0,2.6,3.5,2.8,2.63,3.32,2.95,2015-2016
2015-10-25,Sunderland,Newcastle,H,3,0,9,21,3,8,1,10,12,10,0,2,0,1,2.6,3.4,2.9,2.63,3.38,2.91,2015-2016
2015-10-31,Chelsea,Liverpool,A,1,3,8,16,2,7,1,7,9,21,1,4,0,0,2.1,3.5,3.75,2.12,3.47,3.84,2015-2016
2015-10-31,Crystal Palace,Man United,D,0,0,10,5,5,1,7,3,12,15,3,3,0,0,3.8,3.5,2.1,4.46,3.56,1.94,2015-2016
2015-10-31,Man City,Norwich,H,2,1,21,5,5,3,12,4,4,13,2,2,0,1,1.29,6,12,1.27,6.59,12.5,2015-2016
2015-10-31,Newcastle,Stoke,D,0,0,15,9,6,2,11,4,6,16,1,3,0,0,2.4,3.4,3.2,2.37,3.39,3.29,2015-2016
2015-10-31,Swansea,Arsenal,A,0,3,8,15,3,5,4,4,12,7,2,0,0,0,5,4,1.75,4.73,4.01,1.79,2015-2016
2015-10-31,Watford,West Ham,H,2,0,20,8,5,3,7,2,16,12,3,0,0,1,2.6,3.4,2.9,2.5,3.42,3.05,2015-2016
