Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Season
2007-12-09,Middlesbrough,Arsenal,H,2,1,13,7,7,4,5,4,15,13,2,2,0,0,7,3.8,1.53,2007-2008
2007-12-09,Tottenham,Man City,H,2,1,12,7,8,3,2,6,7,13,2,3,0,1,2,3.3,3.75,2007-2008
2007-12-15,Birmingham,Reading,D,1,1,15,10,9,6,6,6,12,19,2,1,0,0,2.2,3.25,3.4,2007-2008
2007-12-15,Derby,Middlesbrough,A,0,1,13,7,9,5,5,3,6,7,0,0,0,0,3.1,3.25,2.37,2007-2008
2007-12-15,Fulham,Newcastle,A,0,1,10,6,5,4,7,6,17,10,0,1,0,0,2.5,3.25,2.87,2007-2008
2007-12-15,Man City,Bolton,H,4,2,15,9,11,3,6,4,12,12,1,1,0,0,1.83,3.25,5,2007-2008
2007-12-15,Portsmouth,Tottenham,A,0,1,9,12,5,5,4,4,22,13,3,2,0,0,2.2,3.25,3.4,2007-2008
2007-12-15,Sunderland,Aston Villa,D,1,1,9,14,7,11,5,13,17,14,2,2,0,0,3.25,3.25,2.3,2007-2008
2007-12-15,West Ham,Everton,A,0,2,11,12,3,8,9,2,16,14,1,2,0,0,2.5,3.25,2.87,2007-2008
2007-12-15,Wigan,Blackburn,H,5,3,9,9,7,5,6,4,17,24,4,4,0,1,3.25,3.25,2.3,2007-2008
2007-12-16,Arsenal,Chelsea,H,1,0,11,10,5,7,3,5,19,12,5,5,0,0,2.5,3,3.1,2007-2008
2007-12-16,Liverpool,Man United,A,0,1,19,5,6,3,3,3,14,13,2,3,0,0,2.62,3.1,2.87,2007-2008
2007-12-22,Arsenal,Tottenham,H,2,1,9,10,5,5,5,1,10,10,1,3,0,0,1.5,4,7.5,2007-2008
2007-12-22,Aston Villa,Man City,D,1,1,9,6,6,2,7,4,15,15,2,4,0,0,2.1,3.3,3.6,2007-2008
2007-12-22,Bolton,Birmingham,H,3,0,10,4,6,1,7,2,14,18,3,2,0,0,1.9,3.3,4.33,2007-2008
2007-12-22,Fulham,Wigan,D,1,1,9,10,3,4,8,4,15,16,0,0,0,0,2.1,3.3,3.6,2007-2008
2007-12-22,Liverpool,Portsmouth,H,4,1,14,9,7,3,3,1,13,11,1,2,0,0,1.5,4,7,2007-2008
2007-12-22,Middlesbrough,West Ham,A,1,2,7,8,2,4,7,4,15,12,2,3,0,0,2.3,3.3,3.2,2007-2008
2007-12-22,Reading,Sunderland,H,2,1,17,8,9,4,7,2,9,17,0,4,0,0,1.9,3.3,4.33,2007-2008
2007-12-23,Blackburn,Chelsea,A,0,1,16,10,7,8,7,11,15,14,1,2,0,0,4.2,3.4,1.9,2007-2008
2007-12-23,Man United,Everton,H,2,1,18,4,11,2,8,2,10,13,3,3,0,0,1.36,4.75,9,2007-2008
2007-12-23,Newcastle,Derby,D,2,2,23,9,13,6,9,2,12,20,2,2,0,0,1.33,4.75,11,2007-2008
2007-12-26,Birmingham,Middlesbrough,H,3,0,13,18,5,12,12,9,13,6,1,2,0,0,2.25,3.3,3.25,2007-2008
2007-12-26,Chelsea,Aston Villa,D,4,4,14,9,8,4,3,7,7,11,3,2,2,1,1.4,4.33,9,2007-2008
2007-12-26,Derby,Liverpool,A,1,2,9,22,4,10,2,7,9,9,1,0,0,0,13,5,1.28,2007-2008
2007-12-26,Everton,Bolton,H,2,0,18,9,10,7,7,4,8,18,0,3,0,0,1.7,3.5,5.5,2007-2008
2007-12-26,Portsmouth,Arsenal,D,0,0,9,12,6,6,4,7,15,9,2,1,0,0,4.5,3.5,1.83,2007-2008
2007-12-26,Sunderland,Man United,A,0,4,10,17,3,11,4,3,14,12,2,1,0,0,8.5,4.5,1.4,2007-2008
2007-12-26,Tottenham,Fulham,H,5,1,12,9,8,4,3,5,10,17,1,4,0,1,1.44,4.2,8,2007-2008
2007-12-26,West Ham,Reading,D,1,1,18,13,11,10,10,6,8,6,2,2,0,1,1.9,3.3,4.33,2007-2008
2007-12-26,Wigan,Newcastle,H,1,0,8,7,6,6,3,2,13,22,1,4,0,0,2.7,3.3,2.6,2007-2008
2007-12-27,Man City,Blackburn,D,2,2,5,7,2,5,3,3,10,16,1,1,0,0,2.1,3.3,3.6,2007-2008
2007-12-29,Birmingham,Fulham,D,1,1,15,10,6,7,8,6,13,14,0,3,0,1,1.9,3.4,4.2,2007-2008
2007-12-29,Chelsea,Newcastle,H,2,1,16,3,10,2,12,3,9,11,1,2,0,0,1.4,4.33,9,2007-2008
2007-12-29,Everton,Arsenal,A,1,4,10,10,3,7,10,2,14,13,0,5,1,1,3.5,3.4,2.1,2007-2008
2007-12-29,Portsmouth,Middlesbrough,A,0,1,18,13,9,7,4,4,10,17,1,4,0,0,1.66,3.6,5.5,2007-2008
2007-12-29,Sunderland,Bolton,H,3,1,5,5,5,3,2,6,12,16,1,2,0,0,2.5,3.25,2.87,2007-2008
2007-12-29,Tottenham,Reading,H,6,4,14,11,12,8,3,6,9,12,0,3,0,0,1.5,4,7,2007-2008
2007-12-29,West Ham,Man United,H,2,1,11,7,5,3,6,3,10,12,2,0,0,0,7,4,1.5,2007-2008
2007-12-29,Wigan,Aston Villa,A,1,2,3,5,3,4,6,5,18,9,1,1,0,0,3.25,3.3,2.25,2007-2008
2007-12-30,Derby,Blackburn,A,1,2,13,23,7,18,9,7,14,13,1,3,0,0,4,3.5,1.9,2007-2008
2007-12-30,Man City,Liverpool,D,0,0,4,19,3,11,2,9,4,7,0,1,0,0,3.6,3.3,2.1,2007-2008
2008-01-01,Arsenal,West Ham,H,2,0,21,15,13,7,5,7,5,7,0,3,0,0,1.33,5,10,2007-2008
2008-01-01,Aston Villa,Tottenham,H,2,1,14,9,4,6,8,2,5,16,0,3,0,0,2.37,3.3,3,2007-2008
2008-01-01,Fulham,Chelsea,A,1,2,5,11,2,5,4,8,7,8,1,0,0,0,7,4,1.5,2007-2008
2008-01-01,Man United,Birmingham,H,1,0,18,11,13,4,2,0,11,8,1,4,0,0,1.16,7,19,2007-2008
